dbus-logger  | 2026-03-23 15:06:23,537 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:24,531 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-03-23 15:06:24,534 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-03-23 15:06:24,534 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:25,183 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF11A
dbus-logger  | 2026-03-23 15:06:25,186 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-03-23 15:06:25,187 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:25,528 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-03-23 15:06:25,531 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-03-23 15:06:25,532 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:26,526 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-03-23 15:06:26,529 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-03-23 15:06:26,529 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:27,180 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04157909FE003EF11A
dbus-logger  | 2026-03-23 15:06:27,183 - app.core.uart - INFO - Frame OK: 04157909FE003EF1
dbus-logger  | 2026-03-23 15:06:27,183 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-03-23 15:06:27,524 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-03-23 15:06:27,527 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-03-23 15:06:27,527 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-22 14:42:54,263 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-22 14:42:54,264 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:54,265 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-22 14:42:54,266 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:54,266 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:54,267 - app.core.uart - ERROR - CRC FAIL for frame: 0B00D3530315790B00D3530315790B. Skipping byte and continuing...
dbus-logger  | 2026-04-22 14:42:54,267 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:54,267 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:54,268 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-22 14:42:54,269 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-22 14:42:54,269 - app.core.uart - INFO - ACK_BUSY detected
