.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:08:57,038 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:08:57,039 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:08:58,034 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:08:58,037 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:08:58,037 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:08:58,079 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 04917902040099DC9A041579050400B79A1A0415790900FF10CF1A
dbus-logger  | 2026-04-24 14:08:58,082 - app.core.uart - INFO - Frame OK: 04917902040099DC
dbus-logger  | 2026-04-24 14:08:58,083 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:08:58,085 - app.core.uart - INFO - Frame OK: 041579050400B79A
dbus-logger  | 2026-04-24 14:08:58,086 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:08:58,088 - app.core.uart - INFO - Frame OK: 0415790900FF10CF
dbus-logger  | 2026-04-24 14:08:58,089 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:08:59,031 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:08:59,034 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:08:59,035 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:09:00,028 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:09:00,031 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:00,032 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:09:00,074 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0415790901003D0E1A
dbus-logger  | 2026-04-24 14:09:00,077 - app.core.uart - INFO - Frame OK: 0415790901003D0E
dbus-logger  | 2026-04-24 14:09:00,077 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:09:01,026 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
dbus-logger  | 2026-04-24 14:09:01,029 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:09:01,029 - app.core.uart - INFO - ACK_OK detected
dbus-logger  | 2026-04-24 14:09:02,024 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3531A
