us-logger  | 2026-04-24 14:36:23,166 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:23,166 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:36:23,169 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:36:23,169 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:23,169 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,129 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:24,132 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:24,133 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:36:24,133 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 6. Remaining data: 15790B00D353
dbus-logger  | 2026-04-24 14:36:24,133 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,133 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 4. Remaining data: 0B00D353
dbus-logger  | 2026-04-24 14:36:24,134 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,134 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,134 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,161 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:24,164 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:24,164 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:36:24,165 - app.core.uart - WARNING - Incomplete frame in transaction: expected 25, have 13. Remaining data: 15790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:24,165 - app.core.uart - WARNING - Invalid LEN byte 0x79 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,165 - app.core.uart - WARNING - Incomplete frame in transaction: expected 15, have 11. Remaining data: 0B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:24,165 - app.core.uart - WARNING - Invalid LEN byte 0x00 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,166 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,166 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:24,168 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:25,162 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:25,164 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:25,165 - app.core.uart - INFO - ACK_BUSY detected
dbus-logger  | 2026-04-24 14:36:25,167 - app.core.uart - ERROR - CRC FAIL for frame: 15790B00D3530315790B00D3530315790B00D3530315790B00. Skipping 25 bytes and continuing...
dbus-logger  | 2026-04-24 14:36:25,167 - app.core.uart - WARNING - Invalid LEN byte 0xD3 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:25,168 - app.core.uart - WARNING - Invalid LEN byte 0x53 in transaction, skipping
dbus-logger  | 2026-04-24 14:36:26,160 - app.core.uart - INFO - IDLE detected -> TRANSACTION: 0315790B00D3530315790B00D3530315790B00D3530315790B00D3530315790B00D353
dbus-logger  | 2026-04-24 14:36:26,163 - app.core.uart - INFO - Frame OK: 0315790B00D353
dbus-logger  | 2026-04-24 14:36:26,163 - app.core.uart - INFO - ACK_BUSY detected
